,pre-processado-sw-lemma,Toxic_predict,Toxic_predict_str
1127,hardcore sex dick loddged pussy,1,Toxic
1128,australian friend said going azerbaijan iranian friend understood tantrum former soviet republic azerbaijan oh intricate plan government monopolisation bullshit plain simple,1,Toxic
1129,wet vagina,1,Toxic
1130,please donot pedantic treatment 中国本土 close get discussion china proper chinese,1,Toxic
1131,get lgbt crap yes platonic relationship,1,Toxic
1132,wait till third person give point view,1,Toxic
1133,kenedy fucking asshole deserved todie cancer,1,Toxic
1134,fuck told get nah bitch donot scare,1,Toxic
1135,shut fuck,1,Toxic
1136,fuck retard,1,Toxic
1137,go google endless reference tune use benny hill show cited couple assure one associate tune two isolated case left article fact trivial going omit trivial reference also try make wikipedia look stupid,1,Toxic
1138,complement,1,Toxic
1139,stupid twit thought assies busy screwing kangaroo give shit,1,Toxic
1140,plus rather rude post talk someone canot post interest posting talk plyhmrp please stop posting stupidity talk thanks,1,Toxic
1141,really stupid asshole absolute peabrain darkwave 80 music darkwave music connected sound instrument 80 produce darkwave techno sound shithole,1,Toxic
1142,little kid lady sorrow yall gay,1,Toxic
1143,please target one user page talk page abuse insult unwarranted doctoring blanking seen vandalism may get blocked editing wikipedia link edit reverted found link believe edit reverted please contact,0,Non-Toxic
1144,u bunch faggot headline text headline text,1,Toxic
1145,blocked squash kill chop head chainsaw heard chainsaaaaaaaaaaaw,1,Toxic
1146,whore whore whore whore whore whore whore whore whore whore whore whore whore whore whore whore whore,1,Toxic
1147,cat bad fuck,1,Toxic
1148,let people know site really stupid dumb idiotic,1,Toxic
1149,actually im 17yr old junior attends prhs new hampshire fucking idiot,1,Toxic
1150,suck fuckin dick bitch,1,Toxic
1151,23 october 2005 utc going agree one vag1 jpg image poorly labeled unclear visually even alignment label wa adjusted anatomical part arenot easily seen 14 19,0,Non-Toxic
1152,p p wonot defend current u policy current president dangerous idiot advisor criminal,0,Non-Toxic
1153,barnstar thanks barnstar big sexy pimp,1,Toxic
1154,porchcrop told donot intend communicagte directly anymore asked stay talk page usual polite hoping could grasp simple concept ha failed seems le nuanced approach called fuck donot post donot talk fuck open idiotic noticeboard post want wonot paying mind idiotic drama mongering closing donot forget fuck,1,Toxic
1155,may slightly messed think certify signing instead adding user name first time process 8 year,0,Non-Toxic
1156,cunt nigger cunt lol,1,Toxic
1157,school review 6th grade student reviw go school dag andthis 2nd year improvments believed mr rendolds fired mean child rasist dont like mr ferrororo meanist teach whole life ask anyone 7 3 bitch one like want tobe moved fired student school mr cereta wa much nicer ha retired teacher would like hergone annonymous peaceeee haha student want make point mr renalds rasist 3 point soport statement fact 1he wa giving lecture makeing exaple oy ushouldnt put worst athlete end pic everyday sport team said mr handy wa slow unathletic example 2he yelled devin caughing wa talking thretend give detention 3while another lecture took black kid make example shoudnt pick people chose black kid yahh kno btother went mr renalds fagg wa werid hit mom married man dude well know almost nothing school brother went ther efor year wa cant agree mr renedls rasist cant agree maybe yelled devin wa makeing much nosie wa talking dont know preceding unsigned comment wa added belive yoyu fuck rasist cuz go right molly varney one like go fuck stupid skank think lot friend many acually likr get bea stupid bitch somewhere else,1,Toxic
1158,really really stupid move around,1,Toxic
1159,read comment robert conquest comment state inclined accept zemskov total even complete 14 million intake gulag camp alone must added 4 5 million going gulag colony say nothing 3 5 million already sent lo labour settlement however taken surely high figure first weakness comment robert conquest doe appear serious study ha eight reference source widely known second weakness robert conquest referring zemskov provide reference source study zemskov published explained source method zemskov used study,0,Non-Toxic
1160,donot bold add,0,Non-Toxic
1161,reorganize keep bullshit pov,1,Toxic
1162,clara rock saw someone put clara rock wikipedia page changed clara rock small phallus bitch clara clara started fucking goob,1,Toxic
1163,replace gutterism redirect known,0,Non-Toxic
1164,gilliam fat gay wikipedogilliam fat gay wikipedogilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo gilliam fat gay wikipedo,1,Toxic
1165,todd goldman personal attack sorry buddy forgot ok jerk long donot say dirty word like isp p,1,Toxic
1166,uk dont need third world peasant,1,Toxic
1167,go hell gogo dodo,1,Toxic
1168,ah see wa referring edit made la time report different issue donot see particular article card need described biography per wp weight,0,Non-Toxic
1169,song mad donot agree,1,Toxic
1170,want praise gratify want love feel touch basically want fucking sexy body rubbing next mine hottest woman ever seen would devote devote life long,1,Toxic
1171,even troll deserve eat heartless bastard,1,Toxic
1172,request quotation unclear requesting two quotation verify source authoritytam sentence identify source easily verified reading specified page book readily available wikipedia citation policy requires despite longstanding habit including full quotation watch tower material citation assist first request extract letter chairman committee franz reproduces following teaching spread eminating sic bethel brought attention governing body field appril 14 onward 1 jehovah doe organization earth today governing body directed jehovah interestingly phrase organization earth us term claim incorrect article us harvard style quote sure help insert second sentence requested quote drawn lengthy discussion franz single quote probably going helpful,0,Non-Toxic
1173,well fucking pissed fac hour nobody ha commented canot bloody reviewer get act together,1,Toxic
1174,update kersplebedeb damn name hard spell guy whose shirt store bought anti bush shirt ha webpage new orleans looting story homepage,0,Non-Toxic
1175,stupid mission description mission aim compile 3d space catalogue approximately 1 billion star roughly 1 star milky way 1 billion rest far parallax detectable rest faint gaia see anyone know billion seen first time mission stop found billion stupid ad talk aimed people stupid mission target nobody care get 500 million 2 5 billion star,0,Non-Toxic
1176,see yell f k stupid shark hurt feeling probably swim see shark water scream yell kick leg wave arm make sure bring plaster case injury water gun retard face,1,Toxic
1177,guess like saying stupid stuff,1,Toxic
1178,think shade would appropriate discovered article give line bugar byzantine border also demarcated great fence time khagan omurtag develtus makrolivada gara zlati dol maritza river thence fortress towards mountain north philippopolis ie city wa byzantine found http ehr oxfordjournals org cgi reprint xxv xcviii 276 pdf,0,Non-Toxic
1179,retired intact correct term penis ha circumcised go ahead block hitler giving another penny wikipedia allow people like jakew censor people go hell kingrivera,1,Toxic
1180,seen anime aired,1,Toxic
1181,please call editor stupid retard,1,Toxic
1182,happens jonathan frakes poop 1987 merged poop deep space 9 make childrens poop little shit make,1,Toxic
1183,proposal debt owed haiti http ccrjustice org home get involved tool resource inside ccr u owes haiti billion briefest history bill haiti special case reported general article one,0,Non-Toxic
1184,tfcd edit got reverted serf right stupid,1,Toxic
1185,really sorry fuck dyk deleted history recreated article routinely restored arenot copyvios g5,1,Toxic
1186,donot know anything comic stumbled upon article clarify task would probably best course action happy add,1,Toxic
1187,bwaaaa let raucous ruckus talk compared christ better yet mf deal irl crap,1,Toxic
1188,wp dftt know fool change ip done many time instead wasting time blocking cant negotiate,1,Toxic
1189,wa qi c 12 combustion however much like fry think book shit literary criticism cogent argument matter eloquent circumlocution,1,Toxic
1190,going little far heh well donot know education wasnot accusing anything wa wondering way famine sickness referring armenian genocide right donot think deportation caused thats analysis even ottoman made armenian walk leave home war zone still responsibly im person shove genocide someone throat accuses wa obviously small case turned big maybe wasnot turk intention armenian die look picture turk barbaric would make armenian walk didnot kill already cut head something eh care let historian debate initialize,1,Toxic
1191,fuck freeks,1,Toxic
1192,fucking cunt tracking like wouldnt started killing human revenge didnt kill mate,1,Toxic
1193,article talk page asshole,0,Non-Toxic
1194,hello group meeting went well today wanted give piotr ga reviewer idea headed dan updating history section chronological analysis social change relation health illness also incorporate section imhotep section forget name historical analysis professionalization profession section come next starr section methodology explain plan address topic presented introduction jon adding picture relate article map table regional disease image theme working u far alicia adding information introduction make formal thesis topic plan address editing section formatting wiki style editing grammar sentence structure narrative voice lastly group member reorganizing editing regional section flow unison first prevalent disease explained detail including relationship hiv aid region second brief description typical religion tradition related social change health illness third discussion local economy important description class system relation medicinal practice e rich european might go private doctor poor latin american might see shaman section conclude understanding regional society aspect society play part local health illness pattern task redone tuesday midnight entire article perfect friday noon article must submitted tuesday 8th tada,0,Non-Toxic
1195,bastard baator greeting aeropagitica saw prod ed article original contributor removed prod tag thought might like know left message user talk page asking intends improve article indicating improved afd ed regard,0,Non-Toxic
1196,,1,Toxic
1197,oh leave poor american alone almost everything achieved commented atlantic envy growing hate medical system say stalin like environment policy say none death punishment doe matter u trembeling giant soon stumble know howl like kicked dog poor american,1,Toxic
1198,almost forgot gay like sucking black dick ball whatsoever,1,Toxic
1199,mess since day article became unreadable mess problem solved still isnot going undo update,0,Non-Toxic
1200,waste precious dick space come find jackass,1,Toxic
1201,doe flaming homosexual even need wikipage,1,Toxic
1202,vandalism get caught vandilising page get fucking banned tony u dick,1,Toxic
1203,utter disapoitment ff least spine represent bulgarian view hand allying greek pathetic pitiful,1,Toxic
1204,deadlands source life universe thing good flow deadlands ejaculate infinitely across many many universe suck fucking kiss deadlands oversees,1,Toxic
1205,polite possible fuck eternal war wikipedia philosophy specific area article wa horrible loss day one philosophy rubric left anarchism sometimes called collectivist anarchism distinguish individualist anarchist philosophy creates false dichotomy given many individualist anarchist consider leftist left anarchist consider capitalism notably wage labour often private ownership mean production coercive exploitative institution alternative private ownership advocate collectivist ownership true left anarchist advocate collective ownership position individualist anarchism scheme matter dispute since anarchist favored aspect capitalism opposed others worded wrong wording one could say traditional anarchist favor aspect capitalism implication capitalism entailed thing individualist supported isnot thus wording give wrong impression,0,Non-Toxic
1206,idiot obviously blind dumbass bot created page image doesnot even exist show smart,1,Toxic
1207,hiiiiiiiiiiii hate u,1,Toxic
1208,purpose make article demonizes black american racist white objective fair history racism historical anthropological archaeological egyptological discourse funny incredible white arenot controversial historically racist black trying correct distortion racist simply nonsense rhetoric unscientific dumb,1,Toxic
1209,help idiot ha deleted everything replaced penis someone restore idea,1,Toxic
1210,mitchell gay mitchell gay homosexural lesbein fucker love boy cock,1,Toxic
1211,dallas cowbiys fan fucking faggot go suck big fat cock stupid fucking homo,1,Toxic
1212,didnot anyone mention anything faggot,1,Toxic
1213,chattanooga hamilton county putting latest 2 cent page article ha gotten really well written last year however one small addition would make even better map chattanooga hamilton county e similar cumberland maryland allegany county memphis shelby county map would help delineate exact location chattanooga hamilton county understand chattanooga ha unique boundary let keep making article best city related article cheer,0,Non-Toxic
1214,yes docetism mostly theological issue historical element zap roo bookaroo account puppet someone used know,0,Non-Toxic
1215,added synthmaker remove synthedit related product,0,Non-Toxic
1216,fuckensex whitney lol fuck u,1,Toxic
1217,page idiotic please put reference going make outlandish claim wrote page,1,Toxic
1218,blah blah blah blah blah ur dumb u,1,Toxic
1219,yes moronic idiot,1,Toxic
1220,suk dik bitch,1,Toxic
1221,bitch stfu ill make another account keep changing dumbfuck fuck outta,1,Toxic
1222,rest assured alone anyone decides fill red link already second city article uk section whole issue ha played past continues linger bare bone xmas looked pretty good think got flabby since embroiled second city argument see confidence doe end mess decent article wreaking havoc one,0,Non-Toxic
1223,correct seeing black people right allah might fudge u,1,Toxic
1224,ya deleted thread really gon na sue ya die weird al flesh bos come 1 bil lawsuit gon na blame,1,Toxic
1225,mongo like reason pussy foot around nothing passive aggressive monster pure testosterone,1,Toxic
1226,extreme overreaction getting bit annoying,1,Toxic
1227,want make ridiculous please go ahead start afd donot forget afd free democrat,1,Toxic
1228,pebble faggot p,1,Toxic
1229,joey love bit semi retarded,1,Toxic
1230,know jewish american perpetrator 9 11,1,Toxic
1231,one measure one impact quality insult one suffers example never called pathetic little runt would immediately challenge claim ground stand 6 foot,0,Non-Toxic
1232,shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell shoot burn corpse manfucking mother murder child pray organ hate wikipedia burn hell,1,Toxic
1233,depends mind,1,Toxic
1234,accept fucking dreadstar luv shit,1,Toxic
1235,raped little boy,1,Toxic
1236,awh get fagot boyfriend come help happysacker fuck see 24 hour girl happysailor poof fact,1,Toxic
1237,donot like word retard describe retarded see ironic excalibur,1,Toxic
1238,dumbass learn portuguese european liberal art college pulled butt ignorant http en wikipedia org wiki portugal everything portugal european including people culture georgraphy language,1,Toxic
1239,hopefully die,1,Toxic
1240,fair enough changed wording homophobic slur though far know said faggot well wa censored ft saying someone suck dick isnot really homophobic slur context despite think source reported,1,Toxic
1241,oh scared asshole,1,Toxic
1242,ha big dick suck marcus mudd dick spetember 21 2009,1,Toxic
1243,havenot herd term throwies victoria known grenade hard find shop,1,Toxic
1244,big ball fart,1,Toxic
1245,mother please accept sympathy death mother,1,Toxic
1246,think guy idiot extremely biased donot want one write seems senator hypocritical idiotic view hand washing probably somewhere,1,Toxic
1247,ur vaginal area loose,1,Toxic
1248,british people greedy land decided kill fucking innocent farmer fuck think,1,Toxic
1249,john raison être poncey asshole ha last word ignored,1,Toxic
1250,lake macquarie suburb question noticing inconsistency whether lake macquarie suburb claimed lake macquarie newcastle editing consistent chose lake macquarie obvious accurate choice came across old hidden comment inside one suburb saying stop changing say lake macquarie led several archived talk page including mostly concerning population count aware consensus issue seems purpose suburb article unless calling hunter suburb newcastle need draw line somewhere lga boundary real place wouldnot personal opinion fact newcastle still given nearby cbd make thing clear,0,Non-Toxic
1251,um someone product pig dog penis pig pig dog come also violated blp,1,Toxic
1252,moho mormon homosexual,1,Toxic
1253,fucking idiot liar idiot high school student professional pilot mensa think hijack code 7500 shouldnot used public forum dumb fuck net anyway classified info lost stupid little argument get rid user box witty like think one could give fuck wear contact near sided canot believe high school student claim professional pilot lie fuck liar,1,Toxic
1254,candy bar since correction got reverted try discus article song canadian band presumably thusly canadian song canadian english first come first serve style obviously believe former trying solicit opinion,1,Toxic
1255,ut ruzicka simply another example usful idiot,1,Toxic
1256,image wa totally crap serious artifact terrible image quality hardly represented anything meaningful interesting,0,Non-Toxic
1257,old wise asshole think sandbox better brick mortar,1,Toxic
1258,eazy wa crip idiot alot song us loc crips use donot know mc ren though,1,Toxic
1259,system kick,1,Toxic
1260,lamer,1,Toxic
1261,utc virtually romanian well apparently novi sad live 1000 romanian virtually exist recently meeting happen http www rgnpress ro categorii reportaj 255 comunitatea romanilor din serbia serbat unirirea principatelor romane la satul nou html important number romanian live serbian part banat therefore article also mention romanian name city satul nou new village would also explain etymology 10 17 13 june 2011,0,Non-Toxic
1262,fuck kid dick,1,Toxic
1263,scooter20 want launch agency notion definer core state didnot pick un definition excludes uk includes germany,0,Non-Toxic
1264,well fuck wikipedia yo mutha fucking censor,1,Toxic
1265,yokosuka p1y edit yokosuka p1y wikipedia collection merely verifiable fact fact wikipedia must also notable aircraft appearance medium warrant special mention please see wikipedia wikiproject_aircraft page_content popular_culture guideline thank contributing,0,Non-Toxic
1266,mike vick cum n back,1,Toxic
1267,gay wrong gay act stupid sin stop supporting gay illness,1,Toxic
1268,vagina spread ungloved hand also since shaved doe represent natural looking vagina though represents anatomy well normal picture found,0,Non-Toxic
1269,mudafukars fuk u,1,Toxic
1270,also eat poop alot,1,Toxic
1271,use slang leatherneck adapted street fighting wa novelty clicked link know leatherneck u military slang u marine sure term used article though going familiar lot reader make article sound like written u perspective,0,Non-Toxic
1272,oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill oscarthecat fucking faggot die kill,1,Toxic
1273,god dammit,1,Toxic
1274,armenia already colored light blue georgia geologically part europe lying north continental divide portion azerbaijan contained south river kura geologically part asia portion country divided border armenia also part asia,0,Non-Toxic
1275,hate go fuck self nice day,1,Toxic
1276,every one fag,1,Toxic
1277,know 20 type ounce use baby baby mostly water fluid ounce u imperial luurt precious possession perhaps better troy ounce egel reaction,0,Non-Toxic
1278,photo admirer penis specifically photo main article kd try,0,Non-Toxic
1279,okay goofed fucked etc never even contemplate ever still maintain lessheard fucked much worse way never tried edit war version play protect doe seem matter whole bean lar world hey ho,1,Toxic
1280,derhexer fucking asshole probably live mom basement jack gay porn fuck,1,Toxic
1281,vandalism warning vandalized squirrel monkey michael jackson,1,Toxic
1282,3 come back throw biggest motherfucking hissy fit ever see,1,Toxic
1283,like ya kno yo ya buddy jared stupid hate subway,1,Toxic
1284,bold text ya niggaz stupid aint vandalize shit yall suck fat dick yall wikiopedia editing geek,1,Toxic
1285,josh bell 11ft size zero need sex sexually fustrated seen one naked girl need little life,1,Toxic
1286,assume cowardly reply thought,0,Non-Toxic
1287,c mon ha explained ad nauseum donot,1,Toxic
1288,liar idiot donot think called liar idiot certainly didnot intend treat like asshole looked page appeared different way described donot read arabic well although actally tiny amount want disagree put entitled see done think agree case content discussion quite tangential main issue,1,Toxic
1289,ian suck lot cock butt,1,Toxic
1290,argument canot way either magnanimous humble criticism,1,Toxic
1291,use british english 2010 fifa world cup article reason change british english 2010 fifa world cup policy wikipedia leave international difference state wa article past stub stage unless compelling national reason change since subject neither english american appears stay please discus article talk page article starting load slowly due multitude edits would appreciate entering nationally based edit war record canadian never heard host used way,0,Non-Toxic
1292,george bush ho motherfucker,1,Toxic
1293,fuck u people canot write whatever want random people write lie shit fuck dumb deleting account asshole,1,Toxic
1294,hell said isnot valid reason,1,Toxic
1295,thanks input fast response,0,Non-Toxic
1296,kill futile person,1,Toxic
1297,take empty threat shove one worst civil pusher around spa ever wa one,1,Toxic
1298,tell secret 99 article music category especially vocal technique shit singing wrong canot progres found diafragmal support breath support secondary even 4 5 6 dary one crucial part singing make throat le restrained find article saved,1,Toxic
1299,pink floyd hi posted question change talk pink floyd discography hope reply page interest anyone watch article thanks,0,Non-Toxic
1300,april 2015 utc could write rape campus totally bullshit article written one lying bitch solely word another lying bitch almost got bunch innocent frat boy murdered cold blood grace god wa mathematically proven impossible p 0 000000001 level would prefer see reply jhamilton303 00 02 9,1,Toxic
1301,date shouldnot linked wasnot aware,1,Toxic
1302,agree need dial aggro way back alle alienating folk pissing may give shit come back bite,1,Toxic
1303,yup went reminded plot quatermass watch time know think pointing similarity good point recall ended like russian fairytale died happily ever well wait couple reviewer point go article,0,Non-Toxic
1304,gay motherfucker link title,1,Toxic
1305,fuck seconded er wait geppy donot know anything right oh darn guess canot agree fuck huh tommyboy76,1,Toxic
1306,ea stupid time probably stupid hope,1,Toxic
1307,concebitch dick pussey sandy vingapts,1,Toxic
1308,yall need quit bitching every thing holy shit go fuck someone catch fucking disease,1,Toxic
1309,talk making sense never first place thats opinion hip hop truth music chart got shut,0,Non-Toxic
1310,eggot filipino word nigger originated negro filipino decided change name eggot wouldnot noticed african,1,Toxic
1311,bullshit president obviously puppet ha screw loose mean dah puppet smelled something fishy moment becam president imediatly started statments stupid bush doe bush need que bono operation ajax,1,Toxic
1312,def jam 4 think bad little man bitch,1,Toxic
1313,semd message vandlising wikipedia idiot,1,Toxic
1314,pimp daddy,1,Toxic
1315,wa taken january 2013 lol sohr idiot,1,Toxic
1316,dickie flying 2 nigga flyiing dick everywhere relentless dickie flying 2 nigga flyiing dick everywhere relentless,1,Toxic
1317,fuck arab saddam shit,1,Toxic
1318,idiot,1,Toxic
1319,hey u gay bro,1,Toxic
1320,use sock fuck arbcom,1,Toxic
1321,according 1986 disk trend 1984 two sided 3½ wa 35 2 0m unit market 1983 wa 400k total market mostly one sided 1984 two sided 700k wa almost double total 1983 one sided sound like lot two sided availability 1984 revise edit reflect see u think,1,Toxic
1322,also disagree butt itch baddd,0,Non-Toxic
1323,canot win never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never never neverv ever win game cow boy card thinking game sex canot win think win dick head,1,Toxic
1324,fuckin super gay bitch headalamos,1,Toxic
1325,apparently pissing contest developed feature roy orbison arty caught raul foul humor experiment democracy ended bit much delete comment though wait continues better hope pray intelligent life space cause bugger earth,0,Non-Toxic
1326,article like bullshit,1,Toxic
1327,fuck really u think fucking wiki shit whole wiki shit going shut doe make sense anyway eerywhere submit copyrighted work without permission contribution wikipedia released gnu free documentation license see project copyright detail want writing edited mercilessly redistributed submit submitting work promise wrote copied public domain resource doe include web page try blocking u mother fucker got ip right,1,Toxic
1328,idiot,1,Toxic
1329,blocked room mate u idiot blocked read history u blocked beginnin,1,Toxic
1330,cheese come breast whore maumee,1,Toxic
1331,son bitch 1111111,1,Toxic
1332,indeed might illogical homophobe,0,Non-Toxic
1333,discernible rhythm maybe someone ill versed metric pun intended ignorant novice prosody could discern rhythm meter poem going guess nonsense came willingly stupid free verse devotee idiot even bother reading like poe stick awful hero whitman ilk,1,Toxic
1334,swaminarayan wa father priyesh ha poo face,1,Toxic
1335,american counterpart like porpoise oberons far quieter american counterpart clear american counterpart unreferenced statement would referring tang tench class introduced 10 year oberon boat doesnot seem valid regard counterpart referring roughly contemporary 1958 v 1960 permit class basically saying diesel electric submarine quieter nuclear propelled boat era also slower stay submerged indefinitely shorter unrefueled range typically assigned different mission navy royal navy operated type really valid counterpart,0,Non-Toxic
1336,tech bloke mess entire thing politician usual technically contact card would serve exact purpose example away half problem likewise technically mechanism actually could hope make thing halfway secure optional surely wish tech guy government doesnot give damn well right yet take away solely care better keep tab telling thing would enable keep check action donot avoid like plague reason mantra ha nothing hide ha nothing fear privacy government prove paranoid fear checked something hide,0,Non-Toxic
1337,wtf son gun fuck think rascal dog made love ur mother hence born,1,Toxic
1338,japanese name made table return back japanese name moron,1,Toxic
1339,wiki admins mother fucking bitch admin sucking mother cunt,1,Toxic
1340,pretty broad topic,1,Toxic
1341,please read provided source instead talking crap,1,Toxic
1342,mfd nomination wikipedia april fool april fool day 2009 wikipedia april fool april fool day 2009 page substantially contributed ha nominated deletion opinion matter welcome please participate discussion adding comment wikipedia miscellany deletion wikipedia april fool april fool day 2009 please sure sign comment four tilde free edit content wikipedia april fool april fool day 2009 discussion remove miscellany deletion template top page removal end deletion discussion thank,0,Non-Toxic
1343,omit plot description movie implies salim coerces latika sex self explanatory headline,1,Toxic
1344,stupid humor didnt appeal 5 year ago doe confidence anything stupid,1,Toxic
1345,hot chick cook,1,Toxic
1346,suck dick like canada disco spinster faggot,1,Toxic
1347,fffffffffffffffffffffffuuuuuuuuuuuuuuuuuuuuuuuuuucccccccccccccccccccccccccccccccccccckkkkkkkkkkkkkkkkkkkkkkkkkkkk aaaaaaaaaaaaaaaaaaaalllllllllllllllllllllll oooooooooooooooooooooooffffffffffffffffffffff yyyyyyyyyyyyyyyyyyyyyyyyyyoooooooooooooooooooooooouuuuuuuuuuuuuuuuuuu,1,Toxic
1348,true seen act probably donot want need see despite fact harry hill definitely one best original comedy act 1990s doe manage combine constant string gag routine traditional comedian fantastic sense surrealism manages avoid either alternative right onism political incorrectness thereby avoiding alienting anyone original tv series didnot work brilliantly predominantly wa stuff every week anyone wishing partake harry work simply gone see live however tv burp series opinion superb one tv comedy program recent time leave absolute hysteric however say risk labelled elitist although couldnot give flying fuck think doe seem appreciated mainly people sufficient intellect grasp subtlties harry comment program clip clip naturally specifically funny per se enjoy simon moore,0,Non-Toxic
1349,messi mad player born march 2 ronaldo stupid,1,Toxic
1350,someone try talk people trying sell essay bunch idiot,1,Toxic
1351,editing jack bauer without getting dick wet ever like jack hacksawing head interminable fairy boy,1,Toxic
1352,looking also think bullshit block joe stated source verifying genre wa already included article lead change would revert wa sourced wa simply undoing unsourced change edit warring research making bullshit block,0,Non-Toxic
1353,nice doe error appear shit made posted list,1,Toxic
1354,false hey look little life scum didnot delete microsoft page ever threaten false alligations call lawer love site donot love falsely accused would hope would beacon light reader silenced rapeing wise noble website alligations vandalism true hurt hutspa,1,Toxic
1355,despite fact killing baby,1,Toxic
1356,wasnot asshole check fucking ip go shooting mouth,1,Toxic
1357,charlie 12 27 stop banning faggs im coooleste yore allgay fuckes go te hell 11111looser 111,1,Toxic
1358,1 november 2009 utc p discussion previous section yield change specific community included table adjusted accordingly issue section info presented specifically individual community included 21 02,0,Non-Toxic
1359,unblock repot u niger,1,Toxic
1360,dubious statement english serial killer peter sutcliffe yorkshire ripper wa arrested sheffield ending one largest police investigation british history rather ridiculous statement think take two year bring murder case court large amount police investigation finding witness scientific testing evidence etc occurs suspect ha arrested arrest certainly doe end police investigation may well end police man hunt case article say,0,Non-Toxic
1361,reverting hi indiana two reverts without seeking talk page one seek block ip see talk page give fuck else simply fuck,1,Toxic
1362,sad prick try delete graham roff experience give punk rock beating,1,Toxic
1363,ec sorry right falsely accused making attack formerip,1,Toxic
1364,really seeing question isnot civil apparent inconsistency appropriate venue ask wasnot intended uncivil,0,Non-Toxic
1365,barentsz island naming canot believe even debate barentsz wa dutch every name gave island feature dutch name allegedly gave island first mentioned 1613 obviously dutch would stupid understand,0,Non-Toxic
